ProbeID	brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
38200_at	62	69	276	215	65	81	59	99
38201_at	77	62	140	189	114	59	126	62
38202_at	56	168	66	285	98	82	76	434
38203_at	1016	1068	672	684	816	557	557	711
38204_at	377	417	460	525	441	403	470	549
38205_at	523	623	1603	1642	152	186	164	187
38206_at	69	55	51	29	43	49	81	68
38207_at	23	20	92	80	51	162	30	11
38208_at	424	357	983	944	746	845	647	1062
38209_at	51	48	89	32	104	54	130	109
38210_at	430	431	376	340	292	336	267	473
38211_at	1104	732	1673	1972	515	537	1282	566
38212_at	153	249	207	155	31	96	128	78
38213_at	155	86	203	99	292	162	166	297
38214_at	51	38	57	126	71	52	89	71
38215_at	684	644	1675	1728	296	240	442	701
38216_at	94	63	350	349	25	12	14	29
38217_at	107	64	52	42	94	70	190	154
38218_at	18	13	15	92	14	20	13	8
38219_at	233	189	369	450	272	276	160	381
38220_at	22	12	125	165	257	312	188	180
38221_at	224	385	479	330	445	320	66	446
38222_at	28	22	23	18	35	27	36	43
38223_at	108	92	113	128	161	205	72	26
38224_at	523	425	651	566	183	116	44	133
38225_at	311	357	454	325	874	826	125	174
38226_at	416	229	705	663	395	527	343	369
38227_at	17	11	44	20	22	15	17	23
38228_g_at	125	118	71	65	115	116	42	135
38229_at	363	217	431	228	732	806	1070	757
38230_at	321	357	478	428	845	851	1092	1121
38231_f_at	87	24	73	86	85	106	139	94
38232_f_at	43	54	42	33	83	114	69	64
38233_at	215	272	260	317	142	66	90	250
38234_at	58	107	414	216	135	84	54	101
38235_at	241	204	408	281	433	283	533	476
38236_at	275	261	268	211	52	92	237	252
38237_at	1238	1266	812	1036	1807	1760	2660	2372
38238_at	41	28	27	38	104	87	153	130
38239_at	47	16	42	44	65	36	65	80
38240_at	27	9	33	30	36	18	32	29
38241_at	53	144	19	17	86	24	151	33
38242_at	89	149	27	18	172	248	292	365
